,fold0,fold0,fold1,fold1,fold2,fold2,fold3,fold3,total,total
,mean,sd,mean,sd,mean,sd,mean,sd,mean,sd
GCN,0.8143076923076923,0.014256209017378629,0.9245384615384615,0.014533364917804843,0.812,0.020405312680955297,0.868,0.020122154005577004,0.8547115384615385,0.049388509912639635
GCNWithJK,0.8177692307692308,0.010583084311302402,0.9204615384615384,0.011161680393134987,0.817076923076923,0.0235151348783328,0.8604615384615385,0.014546724587431389,0.8539423076923077,0.045128606315145425
GraphSAGE,0.8026923076923077,0.012387802608116318,0.9215384615384615,0.015577654495667715,0.8113846153846154,0.02875039791779471,0.8667692307692307,0.0188066677987025,0.8505961538461538,0.05175451937167057
GraphSAGEWithJK,0.8071538461538461,0.01055820551909253,0.9242307692307693,0.009365438263385227,0.8227692307692308,0.022775026037515377,0.8531538461538462,0.01321513866837974,0.8518269230769231,0.04740830616034323
GATNet,0.8163076923076923,0.01644663799264555,0.9277692307692308,0.012556488820986759,0.7998461538461539,0.020366024860564286,0.8770769230769231,0.018457005400480217,0.85525,0.053670535584614265
NMP,0.876,0.030442711958268368,0.9398461538461539,0.014966342012067025,0.8666153846153847,0.022225150724495782,0.8796153846153846,0.024820796969996915,0.8905192307692308,0.03737104048780587
GIN,0.8585384615384616,0.022563440337813524,0.9476153846153846,0.016749658887833075,0.8673846153846154,0.025597165284450656,0.8856153846153846,0.02104936406856778,0.8897884615384616,0.041005328316745325
GraphNN,0.8764615384615385,0.0345366453162861,0.9440000000000001,0.015695384923077534,0.8678461538461538,0.016450271725482506,0.8808461538461538,0.022579328408181967,0.8922884615384615,0.03829150287800411
